NFT_name,price,status
CryptoPunk #1146,102834.56,Highest
CryptoPunk #1146,0,Lowest
CryptoPunk #1147,67441.2,Highest
CryptoPunk #1147,67441.2,Lowest
CryptoPunk #1151,135187.08,Highest
CryptoPunk #1151,92409.5144,Lowest
CryptoPunk #1155,151670.1655,Highest
CryptoPunk #1155,47.298,Lowest
CryptoPunk #1156,22.255,Highest
CryptoPunk #1156,22.255,Lowest
CryptoPunk #116,373.656,Highest
CryptoPunk #116,241.98,Lowest
CryptoPunk #1160,7696.7385,Highest
CryptoPunk #1160,37.9455,Lowest
CryptoPunk #1161,381122.39,Highest
CryptoPunk #1161,28814.13,Lowest
CryptoPunk #1162,251987.3993,Highest
CryptoPunk #1162,90005.47,Lowest
CryptoPunk #1163,144658.29,Highest
CryptoPunk #1163,144658.29,Lowest
CryptoPunk #1164,95.285,Highest
CryptoPunk #1164,95.285,Lowest
CryptoPunk #1170,70.7421,Highest
CryptoPunk #1170,19.5498,Lowest
CryptoPunk #1171,444974.63,Highest
CryptoPunk #1171,444974.63,Lowest
CryptoPunk #1173,350188.521,Highest
CryptoPunk #1173,338066.08,Lowest
CryptoPunk #1175,437712.64,Highest
CryptoPunk #1175,347439.249,Lowest
CryptoPunk #1176,27778.5,Highest
CryptoPunk #1176,27778.5,Lowest
CryptoPunk #1177,990376.2,Highest
CryptoPunk #1177,990376.2,Lowest
CryptoPunk #1178,80.938,Highest
CryptoPunk #1178,80.938,Lowest
CryptoPunk #1179,392644.125,Highest
CryptoPunk #1179,392644.125,Lowest
CryptoPunk #118,70225.0955,Highest
CryptoPunk #118,36359.8875,Lowest
CryptoPunk #1180,274610.89,Highest
CryptoPunk #1180,41.784,Lowest
CryptoPunk #1181,206130.2285,Highest
CryptoPunk #1181,206130.2285,Lowest
CryptoPunk #1182,1117250,Highest
CryptoPunk #1182,1117250,Lowest
CryptoPunk #1183,205104.74,Highest
CryptoPunk #1183,20966.478,Lowest
CryptoPunk #1184,457470.45,Highest
CryptoPunk #1184,457470.45,Lowest
CryptoPunk #1185,489468.78,Highest
CryptoPunk #1185,489468.78,Lowest
CryptoPunk #1186,386125.88,Highest
CryptoPunk #1186,151828.32,Lowest
CryptoPunk #1187,449837.425,Highest
CryptoPunk #1187,429174,Lowest
CryptoPunk #1190,1313328,Highest
CryptoPunk #1190,12375.04,Lowest
CryptoPunk #1191,406915.88,Highest
CryptoPunk #1191,406915.88,Lowest
CryptoPunk #1194,230020.62,Highest
CryptoPunk #1194,0,Lowest
CryptoPunk #1196,45611.25,Highest
CryptoPunk #1196,21912.25,Lowest
CryptoPunk #1198,147832.8,Highest
CryptoPunk #1198,147832.8,Lowest
CryptoPunk #1203,405176.25,Highest
CryptoPunk #1203,405176.25,Lowest
CryptoPunk #1205,90709.08,Highest
CryptoPunk #1205,35406.735,Lowest
CryptoPunk #1209,609642,Highest
CryptoPunk #1209,66289.25,Lowest
CryptoPunk #1210,404981,Highest
CryptoPunk #1210,108381.75,Lowest
CryptoPunk #1211,94.213,Highest
CryptoPunk #1211,55.2552,Lowest
CryptoPunk #1212,47755.13,Highest
CryptoPunk #1212,69.9683,Lowest
CryptoPunk #1215,182686.3452,Highest
CryptoPunk #1215,39.424,Lowest
CryptoPunk #1216,108.5715,Highest
CryptoPunk #1216,49.047,Lowest
CryptoPunk #1222,170007.72,Highest
CryptoPunk #1222,170007.72,Lowest
CryptoPunk #1224,41297.65,Highest
CryptoPunk #1224,41297.65,Lowest
CryptoPunk #1225,366.2,Highest
CryptoPunk #1225,366.2,Lowest
CryptoPunk #1226,0,Highest
CryptoPunk #1226,0,Lowest
CryptoPunk #1231,0,Highest
CryptoPunk #1231,0,Lowest
CryptoPunk #1232,3724.6275,Highest
CryptoPunk #1232,3724.6275,Lowest
CryptoPunk #1234,2084.555,Highest
CryptoPunk #1234,1787.65,Lowest
CryptoPunk #1236,62.7,Highest
CryptoPunk #1236,27.939,Lowest
CryptoPunk #1237,58404.85,Highest
CryptoPunk #1237,58404.85,Lowest
CryptoPunk #1238,6172.35,Highest
CryptoPunk #1238,300.3572,Lowest
CryptoPunk #124,44393.8,Highest
CryptoPunk #124,24776.25,Lowest
CryptoPunk #1240,77344.4,Highest
CryptoPunk #1240,52008.64,Lowest
CryptoPunk #1241,467419.25,Highest
CryptoPunk #1241,6275.5,Lowest
CryptoPunk #1242,1703.28,Highest
CryptoPunk #1242,1703.28,Lowest
CryptoPunk #1243,153466.443,Highest
CryptoPunk #1243,48913.04,Lowest
CryptoPunk #1244,406.3995,Highest
CryptoPunk #1244,39.198,Lowest
CryptoPunk #1251,657776.66,Highest
CryptoPunk #1251,36296.4427,Lowest
CryptoPunk #1252,26.935,Highest
CryptoPunk #1252,26.935,Lowest
CryptoPunk #1253,77005.9113,Highest
CryptoPunk #1253,34527.27861,Lowest
CryptoPunk #1254,538148.4732,Highest
CryptoPunk #1254,0,Lowest
CryptoPunk #1256,68.524,Highest
CryptoPunk #1256,41.724,Lowest
CryptoPunk #1257,55.6605,Highest
CryptoPunk #1257,37.9455,Lowest
CryptoPunk #1258,58.3245,Highest
CryptoPunk #1258,58.3245,Lowest
CryptoPunk #1259,0,Highest
CryptoPunk #1259,0,Lowest
CryptoPunk #1261,565421.0127,Highest
CryptoPunk #1261,340198.1,Lowest
CryptoPunk #1264,64.805,Highest
CryptoPunk #1264,64.805,Lowest
CryptoPunk #1265,49.2261,Highest
CryptoPunk #1265,49.2261,Lowest
CryptoPunk #1266,48947.5,Highest
CryptoPunk #1266,14.594,Lowest
CryptoPunk #1267,596565.9595,Highest
CryptoPunk #1267,61946.3853,Lowest
CryptoPunk #1269,400420.74,Highest
CryptoPunk #1269,45663.25,Lowest
CryptoPunk #1270,535315.5,Highest
CryptoPunk #1270,68.682,Lowest
CryptoPunk #1271,648282,Highest
CryptoPunk #1271,281846.07,Lowest
CryptoPunk #1274,0,Highest
CryptoPunk #1274,0,Lowest
CryptoPunk #1275,8280,Highest
CryptoPunk #1275,8280,Lowest
CryptoPunk #1279,369721.3754,Highest
CryptoPunk #1279,309271,Lowest
CryptoPunk #1280,24537.675,Highest
CryptoPunk #1280,22222.8,Lowest
CryptoPunk #1281,208902.2,Highest
CryptoPunk #1281,208902.2,Lowest
CryptoPunk #1282,58719.4455,Highest
CryptoPunk #1282,58719.4455,Lowest
CryptoPunk #1284,69.0925,Highest
CryptoPunk #1284,69.0925,Lowest
CryptoPunk #1286,97.3247,Highest
CryptoPunk #1286,97.3247,Lowest
CryptoPunk #1287,187459.8784,Highest
CryptoPunk #1287,58138.93346,Lowest
CryptoPunk #1288,53026.9831,Highest
CryptoPunk #1288,48153.1289,Lowest
CryptoPunk #1289,431982.67,Highest
CryptoPunk #1289,299961.9429,Lowest
CryptoPunk #1290,365838.966,Highest
CryptoPunk #1290,69.0925,Lowest
CryptoPunk #1299,44321.18,Highest
CryptoPunk #1299,27.185,Lowest
CryptoPunk #1302,245890.55,Highest
CryptoPunk #1302,31139.035,Lowest
CryptoPunk #1306,41.1561,Highest
CryptoPunk #1306,41.1561,Lowest
CryptoPunk #1308,324141,Highest
CryptoPunk #1308,122465.72,Lowest
CryptoPunk #1311,46684.3,Highest
CryptoPunk #1311,46684.3,Lowest
CryptoPunk #1314,36153.01,Highest
CryptoPunk #1314,36153.01,Lowest
CryptoPunk #1315,324076.1718,Highest
CryptoPunk #1315,0,Lowest
CryptoPunk #1316,413706.3,Highest
CryptoPunk #1316,20107.605,Lowest
CryptoPunk #1319,289654.836,Highest
CryptoPunk #1319,289654.836,Lowest
CryptoPunk #1320,48912.24,Highest
CryptoPunk #1320,36296.4427,Lowest
CryptoPunk #1321,34059.055,Highest
CryptoPunk #1321,30305.131,Lowest
CryptoPunk #1322,2188.5282,Highest
CryptoPunk #1322,0,Lowest
CryptoPunk #1323,33399.73,Highest
CryptoPunk #1323,33399.73,Lowest
CryptoPunk #1324,278.184863,Highest
CryptoPunk #1324,0,Lowest
CryptoPunk #1325,51414.52,Highest
CryptoPunk #1325,32565.24,Lowest
CryptoPunk #1326,118266.24,Highest
CryptoPunk #1326,11785.89,Lowest
CryptoPunk #1328,818830,Highest
CryptoPunk #1328,353686.25,Lowest
CryptoPunk #1330,630.18,Highest
CryptoPunk #1330,53.793,Lowest
CryptoPunk #1331,69.0925,Highest
CryptoPunk #1331,69.0925,Lowest
CryptoPunk #1334,15906.1875,Highest
CryptoPunk #1334,7883.7,Lowest
CryptoPunk #1335,5481.057,Highest
CryptoPunk #1335,754.54,Lowest
CryptoPunk #1338,70967.82,Highest
CryptoPunk #1338,26.48688,Lowest
CryptoPunk #1340,88566.3,Highest
CryptoPunk #1340,36050.8827,Lowest
CryptoPunk #1343,1361.275,Highest
CryptoPunk #1343,1361.275,Lowest
CryptoPunk #1345,113756.6425,Highest
CryptoPunk #1345,0,Lowest
CryptoPunk #1347,15327.625,Highest
CryptoPunk #1347,15327.625,Lowest
CryptoPunk #1348,202641.65,Highest
CryptoPunk #1348,202641.65,Lowest
CryptoPunk #1349,33981.02,Highest
CryptoPunk #1349,382.15,Lowest
CryptoPunk #1350,35351.3563,Highest
CryptoPunk #1350,17821.4,Lowest
CryptoPunk #1351,1407.7866,Highest
CryptoPunk #1351,43.401,Lowest
CryptoPunk #1352,45124.443,Highest
CryptoPunk #1352,45124.443,Lowest
CryptoPunk #1353,108942.22,Highest
CryptoPunk #1353,0,Lowest
CryptoPunk #1354,134301.47,Highest
CryptoPunk #1354,55212.4897,Lowest
CryptoPunk #1359,69.0925,Highest
CryptoPunk #1359,69.0925,Lowest
CryptoPunk #1360,747.0225,Highest
CryptoPunk #1360,178.749,Lowest
CryptoPunk #1361,107185.221,Highest
CryptoPunk #1361,58030.8,Lowest
CryptoPunk #1362,401226.7,Highest
CryptoPunk #1362,36.96,Lowest
CryptoPunk #1369,329791.9708,Highest
CryptoPunk #1369,112.8347,Lowest
CryptoPunk #1370,75039.55,Highest
CryptoPunk #1370,65666.88,Lowest
CryptoPunk #1374,595.9548,Highest
CryptoPunk #1374,0,Lowest
CryptoPunk #1375,36990.8,Highest
CryptoPunk #1375,36990.8,Lowest
CryptoPunk #1376,88566.3,Highest
