event_date,usd_price,last_fify_transactions_moving_avg
2017-06-23,0,0
2017-06-23,41.92262,20.96131
2017-06-23,80.005,40.64254
2017-06-23,9.6006,32.882054999999994
2017-06-23,96.006,45.506843999999994
2017-06-23,34.24214,43.629393333333326
2017-06-23,64.004,46.540051428571424
2017-06-23,96.006,52.72329499999999
2017-06-23,0,46.8651511111111
2017-06-23,3.2002,42.498656
2017-06-23,32.002,41.54441454545454
2017-06-23,12.8008,39.149113333333325
2017-06-23,9.6006,36.87615076923076
2017-06-23,9.6006,34.927897142857134
2017-06-23,19.2012,33.87945066666666
2017-06-23,64.004,35.762235
2017-06-23,19.2012,34.78805647058823
2017-06-23,19.2012,33.92211999999999
2017-06-23,28.8018,33.6526294736842
2017-06-23,37.12232,33.826114
2017-06-24,49.047,34.55091809523809
2017-06-24,49.047,35.209830909090904
2017-06-24,0,33.67896869565217
2017-06-24,0,32.27567833333333
2017-06-24,49.047,32.9465312
2017-06-24,98.094,35.45220307692308
2017-06-24,75.2054,36.924543703703705
2017-06-24,109.5383,39.51789214285714
2017-06-24,0.32698,38.16648137931035
2017-06-24,98.094,40.16406533333334
2017-06-24,98.094,42.03277290322581
2017-06-24,0,40.719248750000006
2017-06-24,114.443,42.95330181818182
2017-06-24,117.7128,45.1521105882353
2017-06-24,0,43.86205028571429
2017-06-24,163.49,47.18504888888889
2017-06-24,0.000000065396,45.909777299064764
2017-06-24,0.000000065396,44.7016252665998
2017-06-24,75.2054,45.48377333668699
2017-06-24,49.047,45.57285400326981
2017-06-24,32.698,45.25883317392177
2017-06-24,65.396,45.73828952692363
2017-06-25,41.1075,45.630596747227735
2017-06-25,45.675,45.63160591206346
2017-06-25,64.47488436,46.05034543312872
2017-06-25,30.45,45.71120748893026
2017-06-25,30.45,45.38650094661259
2017-06-25,30.45,45.07532384355816
2017-06-25,30.45,44.77684784675085
2017-06-25,60.9,45.09931088981583
2017-06-25,30.45,44.812069499819444
2017-06-25,60.9,46.00618714687827
2017-06-25,45.675,46.07976322530965
2017-06-25,0,44.51103773511358
2017-06-25,60.9,45.516908323348886
2017-06-26,0,43.63443773511359
2017-06-26,55.698,44.05514087236848
2017-06-26,0,42.80016048021162
2017-06-26,0.00027849,40.917695352564564
2017-06-26,0,40.917695352564564
2017-06-26,0,40.854946332956715
2017-06-26,83.547,41.86563260746652
2017-06-26,38.9886,42.37911888197634
2017-06-26,0,42.190871823152804
2017-06-26,0,42.00262476432928
2017-06-26,0,41.62613064668222
2017-06-26,0,40.371150254525354
2017-06-26,0,39.99465613687829
2017-06-26,0,39.61816201923123
2017-06-26,0,39.053420842760644
2017-06-26,0,38.32553221530966
2017-06-26,0,37.36382633295672
2017-06-26,50.1282,37.38502633295672
2017-06-27,37.9455,38.12905574472143
2017-06-27,37.9455,38.873085156486134
2017-06-27,37.9455,38.655408685897896
2017-06-27,0,36.731996921192014
2017-06-27,25.297,35.75340084276064
2017-06-27,25.297,34.10161064668221
2017-06-27,38.71399357,34.85429718727044
2017-06-27,252.97,37.89108150099594
2017-06-27,50.594,36.959708951976324
2017-06-27,75.891,38.44776777550574
2017-06-27,50.594,37.19582659903515
2017-06-27,73.3613,36.326189344133184
2017-06-27,126.485,38.80628738334887
2017-06-27,0,35.60060110883906
2017-06-27,0,35.60060110755679
2017-06-27,0,35.60060110627451
2017-06-27,0,34.12598542
2017-06-27,0,33.16427953764706
2017-06-27,0,32.523142282745106
2017-06-27,0,31.240867772941183
2017-06-27,0,30.434838361176475
2017-06-27,0,29.539250125882358
2017-06-27,0,28.275036707058828
2017-06-27,0,27.677977883529415
2017-06-27,63.2425,28.320968079607848
2017-06-27,63.2425,28.96395827568628
2017-06-27,50.594,29.358938667843145
2017-06-27,75.891,29.65287984431373
2017-06-27,2.5297e-16,29.055821020784315
2017-06-27,37.9455,28.6057327854902
2017-06-27,0,27.710144550196084
2017-06-27,37.9455,28.45417396196079
2017-06-27,63.2425,28.50010533450981
2017-06-27,252.97,33.460301412941185
2017-06-27,75.891,33.85624258941178
2017-06-27,75.891,35.34430141294119
2017-06-28,14.3635,35.62593320725491
2017-06-28,28.727,36.189207717058835
2017-06-28,28.727,36.75248222686276
2017-06-28,28.727,35.67758026607845
2017-06-28,71.8175,36.32128418764707
2017-06-28,0,36.32128418764707
2017-06-28,0,36.32128418764707
2017-06-28,0,36.32128418764707
2017-06-28,0,36.32128418764707
2017-06-28,0,36.32128418764707
2017-06-28,0,36.32128418764707
2017-06-28,0,36.32128418764707
2017-06-28,0,36.32128418764707
2017-06-28,28.99688217,36.88985050470589
2017-06-28,0,35.906944622352945
2017-06-28,14.3635,35.444552465490204
2017-06-28,8.6181,34.86950540666667
2017-06-28,0,34.12547599490197
2017-06-28,0,34.12547599490197
2017-06-29,59.9108,34.804177955686285
2017-06-29,595.9548,45.99354658313726
2017-06-29,44.1448,46.1000329837255
2017-06-29,47.298,42.06724867
2017-06-29,0,41.075209454313736
2017-06-29,0,39.58715063078432
2017-06-29,0,38.595111415098046
2017-06-29,0,37.15665455235294
2017-06-29,0,34.67655651313726
2017-06-29,0,34.67655651313726
2017-06-29,0,34.67655651313726
2017-06-29,0,34.67655651313726
2017-06-29,0,34.67655651313726
2017-06-29,26.48688,35.19590710137255
2017-06-29,24.91028,35.68434396411765
2017-06-29,26.48688,36.20369455235294
2017-06-29,25.2256,36.69831416019608
2017-06-29,26.48688,37.21766474843137
2017-06-29,0,37.21766474843137
2017-06-29,0,37.21766474843137
2017-06-29,0,35.97761572882353
2017-06-29,18.9192,35.10853141509804
