NFTnames,average_price
"CryptoPunk #3954",442168.2
"CryptoPunk #9488",442151.8234
"CryptoPunk #1461",442135.4468
"CryptoPunk #7551",441127.9614
"CryptoPunk #7084",440389.6
"CryptoPunk #793",439598.6426
"CryptoPunk #1187",439505.7125
"CryptoPunk #7111",438783.30000000005
"CryptoPunk #3765",438640.65
"CryptoPunk #480",437590.35
"CryptoPunk #9039",436657.91
"CryptoPunk #4106",436516.19200000004
"CryptoPunk #9982",436366.765
"CryptoPunk #7533",435617.56
"CryptoPunk #4646",433395.84
"CryptoPunk #6854",432595.5575
"CryptoPunk #5966",432507.48676666664
"CryptoPunk #1988",431028.3
"CryptoPunk #650",430491.2549
"CryptoPunk #8982",430456
"CryptoPunk #8969",429926.44999999995
"CryptoPunk #4016",429838
"CryptoPunk #6944",429403.17
"CryptoPunk #2908",428750
"CryptoPunk #4650",427110.685
"CryptoPunk #406",426874.09552
"CryptoPunk #229",426476.745
"CryptoPunk #7545",425497.22666666674
"CryptoPunk #5765",425198.89
"CryptoPunk #988",425198.89
"CryptoPunk #1766",424137.5634
"CryptoPunk #5169",423454.8010833333
"CryptoPunk #150",422184.804
"CryptoPunk #3027",421383.3
"CryptoPunk #8808",419941.63
"CryptoPunk #6076",418407.99250000005
"CryptoPunk #2909",417299.2
"CryptoPunk #7346",417278.7
"CryptoPunk #2656",415965.64
"CryptoPunk #7853",415632.02305
"CryptoPunk #6820",414902.7493
"CryptoPunk #4979",413691.54076666664
"CryptoPunk #900",412323.27324999997
"CryptoPunk #8096",411465.6205
"CryptoPunk #8620",411381.37499999994
"CryptoPunk #6128",410946.77216666663
"CryptoPunk #9416",410880.96642000007
"CryptoPunk #5113",410765.52
"CryptoPunk #5108",410758.747375
"CryptoPunk #4180",409759.15
"CryptoPunk #7331",409672.0806666667
"CryptoPunk #3522",409415
"CryptoPunk #6812",408366.13169999997
"CryptoPunk #1085",408264.9198333333
"CryptoPunk #1191",406915.88
"CryptoPunk #4716",406459.40573333326
"CryptoPunk #4648",405998.75
"CryptoPunk #3051",405521.11699999997
"CryptoPunk #1203",405176.25
"CryptoPunk #1843",405176.25
"CryptoPunk #4619",404951.25
"CryptoPunk #4347",403614.615
"CryptoPunk #4267",403004.01
"CryptoPunk #2268",402154.29295000003
"CryptoPunk #2370",401340.48
"CryptoPunk #6729",401290.95
"CryptoPunk #3994",401061.13369999995
"CryptoPunk #3546",398576.388775
"CryptoPunk #5067",397724.8
"CryptoPunk #5771",397397.42500000005
"CryptoPunk #6212",396851.7375
"CryptoPunk #1965",396411.70499999996
"CryptoPunk #4159",396367.5
"CryptoPunk #8236",396367.5
"CryptoPunk #1947",395591.7
"CryptoPunk #7041",395428.2996
"CryptoPunk #1179",392644.125
"CryptoPunk #4997",392628.985
"CryptoPunk #1175",392575.9445
"CryptoPunk #5981",391779.28
"CryptoPunk #9108",391098.2966
"CryptoPunk #6965",389500.07075
"CryptoPunk #2191",389186.1
