buyer_address,eth_price,usd_price,seller_address,event_date,token_id,transaction_hash,name
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,68.88,232349.46,0x6611fe71c233e4e7510b2795c242c9a57790b376,13/01/2022,9056,0x9940791875fd5389a8dcb76aed80e06f11c5f486d27961c00cb360d765eba67b,CryptoPunk #9056
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,60,194449.8,0x7a01064728c79b52605d41edb5009b3b4c046d9a,12/01/2022,3080,0xce457c5ddde7706247e7cd2b297c4ef67822bd8b1aded2ec8bb8f99dc7a26fa6,CryptoPunk #3080
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,115,362439.75,0xacb7925087acfe2b5a446fe2d7fa39c6a766f829,10/01/2022,4795,0xef4219eeb0c02a69d7bff7b64231379255183c4b5d42aa6524d3929afc7284c9,CryptoPunk #4795
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,60,189099,0xf05155f792819710da259c103d30e4b70178ea9f,10/01/2022,7271,0xfd772e7014c4eec47aaf1eb302f4e60a01c572afb4352351f429197c5f4a6e38,CryptoPunk #7271
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,60,189099,0xd1c44141ef925d5a02e5414f3e1755ff89243ebd,10/01/2022,3836,0x42e57ea8068252c83dc1a8c8cff4824d8362c1cc4942b3991288c5cc8098e6ff,CryptoPunk #3836
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,63,201534.48,0xcddfa13281b357b399a1276d5df4d4e3577134de,08/01/2022,1915,0x5ac669796d803fa21bf2b0af8a258033f1b55f1bd78ba2882366b42127d6eed8,CryptoPunk #1915
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,63,201534.48,0xcddfa13281b357b399a1276d5df4d4e3577134de,08/01/2022,1482,0x6817b1e7f5d852a2c332c2cb04f66dd0a6dc8bbf0b72728e55c31bc6997616cb,CryptoPunk #1482
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,89,303103.74,0x238c94868cd56bf789b9219a8c626c107d040e0b,07/01/2022,7910,0x1d70763856d7da66c4b66cebbba88597fd568e0ad8bf75d00a8e97ade64b98bc,CryptoPunk #7910
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,68,257380,0xe2e58b5bec8f79c7a681c9efbec12b3ece7a76fd,05/01/2022,1580,0x858f1491b69dfe2083c007d2870093fce69c9735d99cc570226ba79320196139,CryptoPunk #1580
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,62.9,238076.5,0x9b45755f1f2f813048072a78d4ef44dc8582403c,05/01/2022,9247,0xf78fda376ab86c66d83751865d35a50abe6e07031d6b192b2f7d235e912e89fa,CryptoPunk #9247
