event_date,usd_price,daily_average,ten_percent_of_earlier_DA,new_daily_average
23/06/2017,41.92262,33.826114,3.3826114,39.60718118
23/06/2017,80.005,33.826114,3.3826114,39.60718118
23/06/2017,9.6006,33.826114,3.3826114,39.60718118
23/06/2017,96.006,33.826114,3.3826114,39.60718118
23/06/2017,34.24214,33.826114,3.3826114,39.60718118
23/06/2017,64.004,33.826114,3.3826114,39.60718118
23/06/2017,96.006,33.826114,3.3826114,39.60718118
23/06/2017,32.002,33.826114,3.3826114,39.60718118
23/06/2017,12.8008,33.826114,3.3826114,39.60718118
23/06/2017,9.6006,33.826114,3.3826114,39.60718118
23/06/2017,9.6006,33.826114,3.3826114,39.60718118
23/06/2017,19.2012,33.826114,3.3826114,39.60718118
23/06/2017,64.004,33.826114,3.3826114,39.60718118
23/06/2017,19.2012,33.826114,3.3826114,39.60718118
23/06/2017,19.2012,33.826114,3.3826114,39.60718118
23/06/2017,28.8018,33.826114,3.3826114,39.60718118
23/06/2017,37.12232,33.826114,3.3826114,39.60718118
24/06/2017,49.047,56.56754001,5.656754001,82.94392667
24/06/2017,49.047,56.56754001,5.656754001,82.94392667
24/06/2017,49.047,56.56754001,5.656754001,82.94392667
24/06/2017,98.094,56.56754001,5.656754001,82.94392667
24/06/2017,75.2054,56.56754001,5.656754001,82.94392667
24/06/2017,109.5383,56.56754001,5.656754001,82.94392667
24/06/2017,98.094,56.56754001,5.656754001,82.94392667
24/06/2017,98.094,56.56754001,5.656754001,82.94392667
24/06/2017,114.443,56.56754001,5.656754001,82.94392667
24/06/2017,117.7128,56.56754001,5.656754001,82.94392667
24/06/2017,163.49,56.56754001,5.656754001,82.94392667
24/06/2017,75.2054,56.56754001,5.656754001,82.94392667
24/06/2017,49.047,56.56754001,5.656754001,82.94392667
24/06/2017,32.698,56.56754001,5.656754001,82.94392667
24/06/2017,65.396,56.56754001,5.656754001,82.94392667
25/06/2017,41.1075,40.91402957,4.091402957,44.32353203
25/06/2017,45.675,40.91402957,4.091402957,44.32353203
25/06/2017,64.47488436,40.91402957,4.091402957,44.32353203
25/06/2017,30.45,40.91402957,4.091402957,44.32353203
25/06/2017,30.45,40.91402957,4.091402957,44.32353203
25/06/2017,30.45,40.91402957,4.091402957,44.32353203
25/06/2017,30.45,40.91402957,4.091402957,44.32353203
25/06/2017,60.9,40.91402957,4.091402957,44.32353203
25/06/2017,30.45,40.91402957,4.091402957,44.32353203
25/06/2017,60.9,40.91402957,4.091402957,44.32353203
25/06/2017,45.675,40.91402957,4.091402957,44.32353203
25/06/2017,60.9,40.91402957,4.091402957,44.32353203
26/06/2017,55.698,12.68678214,1.268678214,57.09045
26/06/2017,83.547,12.68678214,1.268678214,57.09045
26/06/2017,38.9886,12.68678214,1.268678214,57.09045
26/06/2017,50.1282,12.68678214,1.268678214,57.09045
